id,instruction,output,fail_mode
1,What are some unique curtain tie backs that you can make yourself? Answer in bullet points. Answer in all lower case.,"• chain
• circle
• pin
• jute rope
• wooden beaded rope
• a necklace or bracelet
• a door knob
• a length of a leather belt
• macrame rope
• a string of artificial flowers.",prompt compliance
2,Give me a list of some characteristics of a good coffee shop? answer in a paragraph.,"Offering very good coffee, either freshly roasted locally or acquired from a quality roaster. They have high end coffee grinders, brewing machines, and a high quality espresso machine and well-trained baristas. They have different coffee roast options (i.e. medium roast, dark roast) and brewing methods (i.e. drip coffee and pour-over) available. They offer  a variety of cafe fare, such as pastries and croissants, available for purchase to accompany coffee.They provide ample seating, with power outlets available by most seats.",not a full sentence
4,Give me five ways in which I can make my homebrew beer more interesting. answer in json,"{
""ways_to_change_homebrew_recipe"": [
{
""method"": ""Use different hops"",
""description"": ""There is a huge variety of hops available to homebrewers, each introducing its own particular flavor and aroma to the beer. These flavors can range from pineapple and apricots to pine trees and woods, to grapefruit pith and lemon zest. By incorporating different hops into your recipe, either from the same family or entirely different families, you can easily add interesting and often radical changes to the flavor profile of your beer. Additionally, the timing of hop additions in the brewing process can influence the levels of bitterness in the beer due to variations in alpha acid content among different hop varieties.""
},
{
""method"": ""Use a different yeast"",
""description"": ""Yeast not only ferments the beer but also leaves behind various flavors, contributing to the beer's subtle character. For instance, English yeast strains can add malty and sweet flavors, California yeast tends to create a clean and crisp beer, while saison yeast adds bright and fruity notes.""
},
{
""method"": ""Use different grains"",
""description"": ""Adjusting the amount and type of base malts can affect the alcohol content of the finished beer. Experimenting with different base malts, such as substituting American pale malts for British varieties, allows you to discern subtle flavor differences. Additionally, playing with specialty grains, including slightly darker roasts, can further enhance flavor complexity.""
},
{
""method"": ""Add fruit, spices, or herbs"",
""description"": ""Incorporating fruits, spices, herbs, and other ingredients provides an opportunity to infuse your homebrew with a unique character. Whether it's fresh strawberries and basil or vanilla beans and cardamom, these additions can complement the malty and hoppy flavors in the beer, offering a personalized touch to your brew.""
},
{
""method"": ""Alter your water profile"",
""description"": ""Different beer styles often require specific water profiles to achieve the desired flavor characteristics. Adjusting the mineral composition of your brewing water can result in a fuller-bodied, sweeter, drier, more bitter, or even sour taste in the beer, aligning it with the intended style.""
}
]
}



",prompt compliance
5,What is a good way to get around without a car? give numbered list,"1. bus
2. train 
3. walk 
4. bicycle
5. electric scooter ",prompt compliance
6,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,"• Mount Everest. Height: 8,849 meters
• K2. Height: 8,611 meters
• Kangchenjunga. Height: 8,586 meters
• Lhotse. Height: 8,516 meters
• Makalu. Height: 8,485 meters",factual correctness
7,List 6 different types of rain in Seattle,"1. Mist
2. Drizzle
3. Sleet
4. Snow
5. Freezing Rain
6. Showers",factual correctness
8,"I asked a question and got this response back: 1. Make your bike sound like it has an engine by wrapping the can around the back tire.
 2. A percussion instrument to play along with friends in a jam session. You could just crinkle it, hit it with a pen, or fill it with sand or debris and shake it. 
 3. A baking tool. You can used the bottom of the can to stamp out perfectly circle, uniform cookies from a rolled-out sheet of cookie dough.
 4. A field razor. Tear the can carefully to create an effective cutting device for emergency use.
 5. A make shift ball to throw around with friends at the park. An empty can could be a fun projectile to use in a friendly game of 3 Flies Up. what is my question?",What can I use an empty coke can for?,not a full sentence
9,What are some different things you should bring with you on a day hiking trip?,"- Water
- A snack
- Sunscreen
- Hiking boots
- A first aid kit
- A cellphone",punctuation
10,What shapes are made up of straight lines? Answer concisely.,"- Triangle
- Rectangle
- Parallelogram",chattiness
11,Help me come up with 3 ideas for a new business and how I can start it," 1. ""Revolutionary Ride-Sharing"":
  - Idea: Launch a sustainable ride-sharing app offering electric car-sharing services, targeting environmentally conscious commuters.
  - How to Start: To begin with, you'll need to secure funding from investors are interested in about sustainability. Develop an application that enables users to book energy-efficient rides and track their carbon footprint reduction. Establish partnerships with electric car manufacturers and local charging station networks. Launch in environmentally friendly cities, offering incentives for users to make environmentally friendly choices. Your commitment to sustainability will set you apart in the market. 
 
 2. ""Culinary Concoctions"":
  - Idea: Create a premium food delivery service with a unique culinary experiences. Offer exotic, rare ingredients and ready-to-cook meal kits featuring international cuisines.
  - How to Start: Partner with specialty food suppliers and import exotic ingredients that aren't readily available in local grocery stores. Develop a user-friendly app or website where customers can select their desired cuisine and schedule deliveries. Offer weekly or monthly subscription plans for food enthusiasts. With your culinary creativity, you will be quickly preferred choice for adventurous home chefs, and traditional takeout options will be obsolete.
 
 3. ""AI-mazing Personal Styling"":
  - Idea: Launch an AI-powered personal styling service that offers customized fashion advice and curated shopping experiences.
  - How to Start: Develop an AI algorithm that analyzes customer preferences, body types, and fashion trends. Collaborate with a diverse range of clothing brands and retailers to offer a wide selection of styles. Create an app that allows users to input their preferences and receive personalized outfit suggestions. Offer virtual try-on experiences and seamless online shopping. Soon enough, you'll be the fashion guru everyone turns to, and those dull, uninspired wardrobes won't stand a chance.
 ",tone
12,How many times Lewis Hamilton won the F1 Championship ?,Lewis Hamilton won the F1 Championship 7 times.,factual correctness
